trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
T_91_WD_0705,7:00:00,7:00:00,S_MOCHIGASE,1,0,0,1
T_91_WD_0705,7:05:00,7:05:00,S_MINAMIYOSHINARI,2,0,0,1
T_91_WD_0705,7:08:00,7:08:00,S_YOSHINARI,3,0,0,0
T_91_WD_0705,7:24:00,7:24:00,S_TOTTORI_EKI_1,4,0,0,1
T_91_WD_0735,7:30:00,7:30:00,S_MOCHIGASE,1,0,0,1
T_91_WD_0735,7:35:00,7:35:00,S_MINAMIYOSHINARI,2,0,0,1
T_91_WD_0735,7:38:00,7:38:00,S_YOSHINARI,3,0,0,0
T_91_WD_0735,7:56:00,7:56:00,S_TOTTORI_EKI_1,4,0,0,1
T_91_WD_0800,07:55:00,07:55:00,S_MOCHIGASE,1,0,0,1
T_91_WD_0800,08:00:00,08:00:00,S_MINAMIYOSHINARI,2,0,0,1
T_91_WD_0800,08:03:00,08:03:00,S_YOSHINARI,3,0,0,0
T_91_WD_0800,08:20:00,08:20:00,S_TOTTORI_EKI_5,4,0,0,1
T_91_WD_1745,17:45:00,17:45:00,S_TOTTORI_EKI_5,1,0,0,1
T_91_WD_1745,17:58:00,17:58:00,S_YOSHINARI,2,0,0,0
T_91_WD_1745,18:02:00,18:02:00,S_MINAMIYOSHINARI,3,0,0,1
T_91_WD_1745,18:10:00,18:10:00,S_MOCHIGASE,4,0,0,1
T_91_WD_1830,18:30:00,18:30:00,S_TOTTORI_EKI_5,1,0,0,1
T_91_WD_1830,18:43:00,18:43:00,S_YOSHINARI,2,0,0,0
T_91_WD_1830,18:47:00,18:47:00,S_MINAMIYOSHINARI,3,0,0,1
T_91_WD_1830,18:55:00,18:55:00,S_MOCHIGASE,4,0,0,1
T_91_WD_2350,23:50:00,23:50:00,S_TOTTORI_EKI_5,1,0,0,1
T_91_WD_2350,24:03:00,24:03:00,S_YOSHINARI,2,0,0,0
T_91_WD_2350,24:15:00,24:15:00,S_MINAMIYOSHINARI,3,0,0,1
T_91_WD_2350,24:25:00,24:25:00,S_MOCHIGASE,4,0,0,1
T_91_WD_EXPRESS,19:00:00,19:00:00,S_TOTTORI_EKI_5,1,0,0,1
T_91_WD_EXPRESS,19:20:00,19:20:00,S_MOCHIGASE,2,0,0,1
T_93_SA_0800,7:55:00,7:55:00,S_MOCHIGASE,1,0,0,1
T_93_SA_0800,8:00:00,8:00:00,S_MINAMIYOSHINARI,2,0,0,1
T_93_SA_0800,8:19:00,8:19:00,S_TOTTORI_EKI_1,3,0,0,1
T_93_SH_0830,8:25:00,8:25:00,S_MOCHIGASE,1,0,0,1
T_93_SH_0830,8:30:00,8:30:00,S_MINAMIYOSHINARI,2,0,0,1
T_93_SH_0830,8:49:00,8:49:00,S_TOTTORI_EKI_1,3,0,0,1
T_93_SA_1800,18:00:00,18:00:00,S_TOTTORI_EKI_5,1,0,0,1
T_93_SA_1800,18:17:00,18:17:00,S_MINAMIYOSHINARI,2,0,0,1
T_93_SA_1800,18:25:00,18:25:00,S_MOCHIGASE,3,0,0,1
T_20_WD_0700,7:00:00,7:00:00,S_TOTTORI_MINAMIGUCHI,1,0,0,1
T_20_WD_0700,7:20:00,7:20:00,S_KOYAMA,2,0,0,1
