route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R_MOCHIGASE_91,WD,T_91_WD_0705,鳥取駅,0,,SH_91_0
R_MOCHIGASE_91,WD,T_91_WD_0735,鳥取駅,0,,SH_91_0
R_MOCHIGASE_91,WD,T_91_WD_0800,鳥取駅,0,,SH_91_0
R_MOCHIGASE_91,WD,T_91_WD_1745,智頭,1,,SH_91_1
R_MOCHIGASE_91,WD,T_91_WD_1830,智頭,1,,SH_91_1
R_MOCHIGASE_91,WD,T_91_WD_2350,用瀬,1,,SH_91_1
R_MOCHIGASE_91,WD,T_91_WD_EXPRESS,用瀬,1,,SH_91_1
R_MOCHIGASE_93,SA,T_93_SA_0800,鳥取駅,0,,SH_93_0
R_MOCHIGASE_93,SH,T_93_SH_0830,鳥取駅,0,,SH_93_0
R_MOCHIGASE_93,SA,T_93_SA_1800,用瀬,1,,SH_93_1
R_KOYAMA_20,WD,T_20_WD_0700,湖山,0,,SH_20_0
